Step,v_fracdone,Temp,Press,Density,PotEng,KinEng,TotEng
0,0.0,1.0,0.035830292,0.033333333,-1.603595,1.4985,-0.10509496
20,0.001,0.66774998,-0.0044706056,0.033333333,-1.3242984,1.0006233,-0.32367506
40,0.002,0.48663682,0.016954339,0.033333333,-1.3077728,0.72922528,-0.57854749
60,0.003,0.62584455,0.01362359,0.033333333,-1.3165842,0.93782806,-0.37875618
80,0.004,0.87910065,0.024481513,0.033333333,-1.3420587,1.3173323,-0.024726392
100,0.005,0.83254917,0.025643646,0.033333333,-1.3473642,1.2475749,-0.099789275
120,0.006,0.6229964,0.012840464,0.033333333,-1.3613758,0.93356011,-0.42781573
140,0.007,0.66355129,0.019929812,0.033333333,-1.3574762,0.99433161,-0.3631446
160,0.008,0.93878075,0.026280113,0.033333333,-1.3529916,1.406763,0.053771357
180,0.009,0.99673481,0.027853365,0.033333333,-1.3459555,1.4936071,0.14765163
200,0.01,0.76336258,0.022663932,0.033333333,-1.3345291,1.1438988,-0.19063024
220,0.011,0.68800374,0.016626139,0.033333333,-1.3250269,1.0309736,-0.29405333
240,0.012,0.96499191,0.026172907,0.033333333,-1.3486171,1.4460404,0.097423263
260,0.013,1.1243754,0.03249737,0.033333333,-1.3204644,1.6848765,0.36441218
280,0.014,0.92953538,0.026778013,0.033333333,-1.3002857,1.3929088,0.092623029
300,0.015,0.74994026,0.0093544457,0.033333333,-1.2952684,1.1237855,-0.17148295
320,0.016,0.93045512,0.023986554,0.033333333,-1.2924985,1.394287,0.10178854
340,0.017,1.1883354,0.029228717,0.033333333,-1.2859421,1.7807206,0.49477844
360,0.018,1.0745712,0.028781705,0.033333333,-1.2412099,1.610245,0.36903515
380,0.019,0.832739,0.024913779,0.033333333,-1.2487779,1.2478594,-0.00091852693
400,0.02,0.86957332,0.026680448,0.033333333,-1.2186981,1.3030556,0.084357479
420,0.021,1.1514461,0.030305403,0.033333333,-1.2119453,1.7254419,0.51349666
440,0.022,1.1990225,0.031890153,0.033333333,-1.224753,1.7967353,0.57198228
460,0.023,0.91718811,0.028361504,0.033333333,-1.1778037,1.3744064,0.19660272
480,0.024,0.83252067,0.017230786,0.033333333,-1.1712318,1.2475322,0.076300394
500,0.025,1.0779637,0.027669052,0.033333333,-1.1783526,1.6153286,0.43697598
520,0.026,1.2271457,0.034291833,0.033333333,-1.1769417,1.8388779,0.66193614
540,0.027,1.0443406,0.035032977,0.033333333,-1.185045,1.5649444,0.37989939
560,0.028,0.84755395,0.018513235,0.033333333,-1.1663543,1.2700596,0.10370527
580,0.029,0.97634773,0.029229311,0.033333333,-1.1538213,1.4630571,0.30923578
600,0.03,1.1780422,0.027791543,0.033333333,-1.1471025,1.7652963,0.61819378
620,0.031,1.099488,0.034750236,0.033333333,-1.1578429,1.6475828,0.4897399
640,0.032,0.88686805,0.026696813,0.033333333,-1.1785987,1.3289718,0.15037311
660,0.033,0.87014473,0.02335795,0.033333333,-1.1290467,1.3039119,0.17486513
680,0.034,1.0626639,0.026819649,0.033333333,-1.1080553,1.5924018,0.48434652
700,0.035,1.1094496,0.034376362,0.033333333,-1.1386491,1.6625103,0.52386115
720,0.036,0.8987862,0.025237785,0.033333333,-1.1136604,1.3468311,0.23317069
740,0.037,0.81961188,0.017746981,0.033333333,-1.1089681,1.2281884,0.11922031
760,0.038,0.98092139,0.027294919,0.033333333,-1.1043194,1.4699107,0.3655913
780,0.039,1.1094231,0.033174231,0.033333333,-1.121067,1.6624704,0.54140346
800,0.04,1.0013423,0.02903731,0.033333333,-1.1345943,1.5005114,0.36591718
820,0.041,0.88593761,0.027582135,0.033333333,-1.1538921,1.3275775,0.17368541
840,0.042,0.95910739,0.021104686,0.033333333,-1.1291587,1.4372224,0.30806371
860,0.043,1.1068679,0.032976317,0.033333333,-1.1189899,1.6586415,0.53965167
880,0.044,1.0909133,0.027555365,0.033333333,-1.1416153,1.6347336,0.49311829
900,0.045,0.95025355,0.026655742,0.033333333,-1.1431389,1.4239549,0.28081605
920,0.046,0.94142143,0.02358631,0.033333333,-1.1247056,1.41072,0.28601442
940,0.047,1.0459277,0.025823406,0.033333333,-1.073538,1.5673227,0.49378467
960,0.048,1.0887643,0.031962086,0.033333333,-1.0768851,1.6315133,0.55462814
980,0.049,0.98779487,0.023915405,0.033333333,-1.090317,1.4802106,0.38989362
1000,0.05,0.92755646,0.025852633,0.033333333,-1.09251,1.3899434,0.29743339
1020,0.051,1.0168299,0.025271074,0.033333333,-1.0981759,1.5237197,0.42554377
1040,0.052,1.0984047,0.033238348,0.033333333,-1.0987685,1.6459594,0.5471909
1060,0.053,1.0346707,0.030813731,0.033333333,-1.0848174,1.5504541,0.46563665
1080,0.054,0.92861264,0.023205227,0.033333333,-1.0545796,1.391526,0.33694649
1100,0.055,0.9508267,0.028248419,0.033333333,-1.0579205,1.4248138,0.36689336
1120,0.056,1.0410863,0.025315678,0.033333333,-1.0734323,1.5600678,0.48663549
1140,0.057,1.0539933,0.034556473,0.033333333,-1.0855836,1.5794089,0.49382536
1160,0.058,0.98531863,0.022272591,0.033333333,-1.0909474,1.4765,0.3855526
1180,0.059,0.9592799,0.027572025,0.033333333,-1.09597,1.4374809,0.34151094
1200,0.06,0.99645796,0.024281737,0.033333333,-1.0777669,1.4931923,0.41542537
1220,0.061,1.0274399,0.028902601,0.033333333,-1.0683824,1.5396187,0.47123634
1240,0.062,0.99056985,0.025578524,0.033333333,-1.0603886,1.4843689,0.42398031
1260,0.063,0.95513105,0.026797793,0.033333333,-1.0769282,1.4312639,0.35433572
1280,0.064,0.96666844,0.026357521,0.033333333,-1.0794224,1.4485527,0.36913022
1300,0.065,1.0178128,0.029403481,0.033333333,-1.0868669,1.5251925,0.43832563
1320,0.066,1.0249786,0.031241818,0.033333333,-1.076703,1.5359304,0.45922747
1340,0.067,0.98461384,0.028282508,0.033333333,-1.0669421,1.4754438,0.40850176
1360,0.068,0.94491444,0.026534799,0.033333333,-1.0428102,1.4159543,0.37314411
1380,0.069,0.97364953,0.020857628,0.033333333,-1.0453432,1.4590138,0.41367064
1400,0.07,1.0185036,0.030876574,0.033333333,-1.0481158,1.5262277,0.47811195
1420,0.071,1.0071281,0.027492764,0.033333333,-1.0270376,1.5091815,0.48214396
1440,0.072,0.97076721,0.028022167,0.033333333,-1.0217198,1.4546947,0.43297483
1460,0.073,0.96845589,0.027305642,0.033333333,-1.0253819,1.4512312,0.42584926
1480,0.074,0.99668492,0.027556074,0.033333333,-0.99702227,1.4935323,0.49651007
1500,0.075,1.0446437,0.03108572,0.033333333,-1.0086576,1.5653986,0.55674107
1520,0.076,1.019431,0.027188499,0.033333333,-1.0030903,1.5276173,0.52452698
1540,0.077,0.97060976,0.021700887,0.033333333,-0.9873458,1.4544587,0.46711292
1560,0.078,0.98580753,0.028465826,0.033333333,-0.97926372,1.4772326,0.49796886
1580,0.079,1.0438151,0.030695516,0.033333333,-0.97644437,1.5641569,0.58771252
1600,0.08,1.0421134,0.025111015,0.033333333,-0.96062086,1.561607,0.60098611
1620,0.081,0.98557614,0.030071916,0.033333333,-0.95291108,1.4768858,0.52397477
1640,0.082,0.97190811,0.025739357,0.033333333,-0.96038183,1.4564043,0.49602248
1660,0.083,1.0483499,0.02817541,0.033333333,-0.994689,1.5709523,0.57626334
1680,0.084,1.0930813,0.032644873,0.033333333,-0.99992621,1.6379824,0.63805618
1700,0.085,1.0399696,0.029078502,0.033333333,-0.9816297,1.5583945,0.57676476
1720,0.086,0.99215317,0.019953356,0.033333333,-0.99843657,1.4867415,0.48830496
1740,0.087,1.0017508,0.032506868,0.033333333,-0.98866393,1.5011236,0.51245966
1760,0.088,1.0621695,0.033096487,0.033333333,-0.99872153,1.591661,0.59293943
1780,0.089,1.0476039,0.025157624,0.033333333,-1.0021043,1.5698344,0.56773012
1800,0.09,0.97712319,0.033239849,0.033333333,-1.0095882,1.4642191,0.45463087
1820,0.091,0.94417937,0.026493589,0.033333333,-0.99642332,1.4148528,0.41842945
1840,0.092,0.99083129,0.029186661,0.033333333,-0.98783132,1.4847607,0.49692937
1860,0.093,1.006484,0.020941984,0.033333333,-0.97068244,1.5082162,0.53753376
1880,0.094,0.97742981,0.029187967,0.033333333,-1.006176,1.4646786,0.45850255
1900,0.095,0.93132231,0.028999246,0.033333333,-1.0027184,1.3955865,0.39286813
1920,0.096,0.97001507,0.024499467,0.033333333,-1.0041952,1.4535676,0.44937242
1940,0.097,1.0222712,0.03412157,0.033333333,-0.99821659,1.5318734,0.53365684
1960,0.098,0.9916926,0.024145995,0.033333333,-0.97616551,1.4860514,0.50988585
1980,0.099,0.94056561,0.02836809,0.033333333,-0.97989163,1.4094376,0.42954594
2000,0.1,0.95231164,0.026527493,0.033333333,-0.98448382,1.427039,0.44255516
2020,0.101,1.0100517,0.028707947,0.033333333,-0.97341309,1.5135625,0.54014946
2040,0.102,1.0365081,0.026125682,0.033333333,-0.97778596,1.5532073,0.57542138
2060,0.103,0.9801113,0.022658906,0.033333333,-0.95872374,1.4686968,0.50997305
2080,0.104,0.93911418,0.026694255,0.033333333,-0.93163127,1.4072626,0.47563133
2100,0.105,1.0154021,0.02786523,0.033333333,-0.97647577,1.5215801,0.54510433
2120,0.106,1.0680609,0.026404907,0.033333333,-0.98678571,1.6004892,0.61370354
2140,0.107,1.0390798,0.028140384,0.033333333,-0.97931359,1.5570611,0.57774753
2160,0.108,0.97135526,0.027940934,0.033333333,-0.94860705,1.4555759,0.50696881
2180,0.109,0.97735736,0.028519035,0.033333333,-0.94378835,1.46457,0.52078165
2200,0.11,1.0161002,0.031161141,0.033333333,-0.93125149,1.5226261,0.59137461
2220,0.111,1.0481176,0.033785753,0.033333333,-0.97079651,1.5706042,0.59980767
2240,0.112,1.0032176,0.03269287,0.033333333,-0.96760975,1.5033216,0.53571183
2260,0.113,0.97088284,0.025738223,0.033333333,-0.9523464,1.4548679,0.50252154
2280,0.114,0.99157969,0.024243392,0.033333333,-0.93947759,1.4858822,0.54640458
2300,0.115,1.0143058,0.036054325,0.033333333,-0.93274985,1.5199372,0.58718737
2320,0.116,0.99435505,0.027082702,0.033333333,-0.93588251,1.490041,0.55415853
2340,0.117,0.96832072,0.025185303,0.033333333,-0.94946147,1.4510286,0.50156712
2360,0.118,0.97788566,0.026903144,0.033333333,-0.95546779,1.4653617,0.50989387
2380,0.119,1.006397,0.026349045,0.033333333,-0.94506734,1.5080859,0.56301853
2400,0.12,1.0083372,0.031002414,0.033333333,-0.93459852,1.5109934,0.57639485
2420,0.121,1.0007642,0.028121774,0.033333333,-0.9655949,1.4996452,0.5340503
2440,0.122,0.96673144,0.023021074,0.033333333,-0.93558434,1.4486471,0.51306272
2460,0.123,0.99222887,0.030544825,0.033333333,-0.9308034,1.486855,0.55605156
2480,0.124,1.0356046,0.028390722,0.033333333,-0.93945266,1.5518535,0.61240087
2500,0.125,1.0270767,0.028145767,0.033333333,-0.92592804,1.5390744,0.61314637
2520,0.126,0.99531595,0.026091154,0.033333333,-0.91048741,1.4914809,0.58099353
2540,0.127,1.0138383,0.027981021,0.033333333,-0.92364299,1.5192366,0.59559365
2560,0.128,1.0558532,0.031272195,0.033333333,-0.92321161,1.5821961,0.65898448
2580,0.129,1.0744936,0.02713127,0.033333333,-0.91956802,1.6101286,0.69056059
2600,0.13,1.0402297,0.0342995,0.033333333,-0.90847218,1.5587842,0.65031198
2620,0.131,1.0102639,0.035922785,0.033333333,-0.90620912,1.5138804,0.60767132
2640,0.132,1.0164982,0.030694197,0.033333333,-0.88991501,1.5232226,0.63330759
2660,0.133,1.0589859,0.031637109,0.033333333,-0.91070734,1.5868903,0.67618299
2680,0.134,1.0329391,0.03455986,0.033333333,-0.89887692,1.5478592,0.64898231
2700,0.135,0.99068222,0.026376304,0.033333333,-0.90979969,1.4845373,0.57473762
2720,0.136,0.97124726,0.024757406,0.033333333,-0.90012865,1.455414,0.55528538
2740,0.137,1.0033516,0.0206218,0.033333333,-0.90048102,1.5035224,0.60304139
2760,0.138,1.0263427,0.038842795,0.033333333,-0.91994944,1.5379745,0.61802509
2780,0.139,0.99046495,0.024053015,0.033333333,-0.92481843,1.4842117,0.5593933
2800,0.14,0.95052196,0.026761619,0.033333333,-0.90951188,1.4243572,0.51484527
2820,0.141,0.99563718,0.029217562,0.033333333,-0.93737846,1.4919623,0.55458385
2840,0.142,1.0508106,0.02483831,0.033333333,-0.9677642,1.5746397,0.60687551
2860,0.143,1.0097939,0.035327039,0.033333333,-0.93250294,1.5131761,0.5806732
2880,0.144,0.97676666,0.025233778,0.033333333,-0.94657875,1.4636848,0.51710609
2900,0.145,0.98790438,0.029916641,0.033333333,-0.95860405,1.4803747,0.52177065
2920,0.146,1.0378303,0.022602742,0.033333333,-0.97304876,1.5551887,0.58213993
2940,0.147,1.0370048,0.030197675,0.033333333,-0.96322467,1.5539518,0.59072709
2960,0.148,0.99481254,0.024033814,0.033333333,-0.9645408,1.4907266,0.52618579
2980,0.149,0.95057354,0.032279218,0.033333333,-0.9279658,1.4244345,0.49646866
3000,0.15,0.99590075,0.024836001,0.033333333,-0.94421201,1.4923573,0.54814527
3020,0.151,1.0240984,0.031463758,0.033333333,-0.94493984,1.5346114,0.5896716
3040,0.152,1.0094101,0.02849572,0.033333333,-0.96390094,1.512601,0.54870005
3060,0.153,0.95205342,0.027737808,0.033333333,-0.92866342,1.4266521,0.49798864
3080,0.154,0.97412976,0.026175177,0.033333333,-0.93137863,1.4597334,0.52835481
3100,0.155,1.0343275,0.026514942,0.033333333,-0.95853557,1.5499398,0.59140418
3120,0.156,1.0253821,0.028875459,0.033333333,-0.94580494,1.536535,0.59073008
3140,0.157,0.98088027,0.027705782,0.033333333,-0.92549262,1.4698491,0.54435646
3160,0.158,1.00552,0.030819341,0.033333333,-0.95193492,1.5067717,0.55483681
3180,0.159,1.0672593,0.032155511,0.033333333,-0.97062239,1.599288,0.62866563
3200,0.16,1.0829121,0.029883377,0.033333333,-0.95814648,1.6227438,0.66459735
3220,0.161,1.0388344,0.025952808,0.033333333,-0.93239151,1.5566934,0.6243019
3240,0.162,1.0206796,0.031679844,0.033333333,-0.93420171,1.5294884,0.5952867
3260,0.163,1.0375713,0.033989134,0.033333333,-0.92320827,1.5548006,0.63159231
3280,0.164,1.0568659,0.0272938,0.033333333,-0.91782607,1.5837136,0.66588752
3300,0.165,1.0411095,0.031942367,0.033333333,-0.92969653,1.5601025,0.63040599
3320,0.166,1.0010448,0.030370924,0.033333333,-0.92815467,1.5000657,0.57191099
3340,0.167,0.97875992,0.026778531,0.033333333,-0.89984361,1.4666717,0.56682813
3360,0.168,0.99870357,0.025663512,0.033333333,-0.90408134,1.4965573,0.59247596
3380,0.169,0.99677396,0.029415945,0.033333333,-0.9153044,1.4936658,0.57836138
3400,0.17,0.97625998,0.030381243,0.033333333,-0.93190462,1.4629256,0.53102097
3420,0.171,0.98373564,0.027939346,0.033333333,-0.95948699,1.4741278,0.51464086
3440,0.172,0.98428042,0.029424894,0.033333333,-0.93296901,1.4749442,0.5419752
3460,0.173,0.98644132,0.029416966,0.033333333,-0.9224085,1.4781823,0.55577382
3480,0.174,0.98599802,0.02684947,0.033333333,-0.94649945,1.477518,0.53101858
3500,0.175,0.97629291,0.034529615,0.033333333,-0.9513682,1.4629749,0.51160672
3520,0.176,0.97758956,0.019389649,0.033333333,-0.93555285,1.464918,0.5293651
3540,0.177,1.0028683,0.027025138,0.033333333,-0.94890995,1.5027981,0.55388818
3560,0.178,1.0077733,0.023555525,0.033333333,-0.96165596,1.5101483,0.54849236
3580,0.179,0.99003515,0.027305388,0.033333333,-0.95050187,1.4835677,0.5330658
3600,0.18,0.99425014,0.033169576,0.033333333,-0.95006938,1.4898838,0.53981445
3620,0.181,1.0160891,0.029377342,0.033333333,-0.96149482,1.5226095,0.56111464
3640,0.182,1.0151627,0.033924303,0.033333333,-0.95489243,1.5212213,0.56632883
3660,0.183,0.98247257,0.022092255,0.033333333,-0.9175326,1.4722351,0.55470255
3680,0.184,0.98572451,0.021437253,0.033333333,-0.92533828,1.4771082,0.55176989
3700,0.185,0.99570038,0.031079177,0.033333333,-0.92710254,1.492057,0.56495448
3720,0.186,0.99117947,0.029062208,0.033333333,-0.90907781,1.4852824,0.57620463
3740,0.187,1.0203364,0.030781449,0.033333333,-0.95305266,1.5289741,0.57592139
3760,0.188,1.0012459,0.028940263,0.033333333,-0.92280877,1.500367,0.57755823
3780,0.189,1.0086572,0.025707912,0.033333333,-0.92330634,1.5114729,0.58816652
3800,0.19,1.0251287,0.031299343,0.033333333,-0.93322515,1.5361553,0.60293015
3820,0.191,1.0293279,0.025617908,0.033333333,-0.92110057,1.5424479,0.62134733
3840,0.192,1.0252218,0.031048126,0.033333333,-0.89467058,1.5362949,0.64162433
3860,0.193,1.044449,0.025605132,0.033333333,-0.90447253,1.5651069,0.66063435
3880,0.194,1.0511599,0.030510595,0.033333333,-0.90103867,1.5751631,0.67412445
3900,0.195,1.0737118,0.030397877,0.033333333,-0.92419412,1.6089572,0.68476304
3920,0.196,1.0704027,0.025542991,0.033333333,-0.91061093,1.6039984,0.6933875
3940,0.197,1.0589812,0.031716409,0.033333333,-0.89503591,1.5868833,0.69184737
3960,0.198,1.017429,0.027946904,0.033333333,-0.8495706,1.5246174,0.67504683
3980,0.199,1.0300585,0.027983539,0.033333333,-0.88810576,1.5435426,0.65543686
4000,0.2,1.038602,0.025605396,0.033333333,-0.91073552,1.556345,0.64560951
4020,0.201,1.0251022,0.033512412,0.033333333,-0.89883301,1.5361157,0.63728265
4040,0.202,1.0117878,0.028644882,0.033333333,-0.9005781,1.516164,0.61558593
4060,0.203,0.9963343,0.029728245,0.033333333,-0.90136455,1.493007,0.5916424
4080,0.204,1.002547,0.022681923,0.033333333,-0.91976595,1.5023167,0.58255078
4100,0.205,1.009582,0.031320199,0.033333333,-0.9249219,1.5128587,0.58793679
4120,0.206,0.99218012,0.028617148,0.033333333,-0.90250374,1.4867819,0.58427817
4140,0.207,0.97921547,0.030259484,0.033333333,-0.90229391,1.4673544,0.56506047
4160,0.208,0.98330996,0.027123912,0.033333333,-0.91618193,1.47349,0.55730806
4180,0.209,0.99631772,0.031774732,0.033333333,-0.92541735,1.4929821,0.56756475
4200,0.21,1.0020759,0.028219802,0.033333333,-0.92402302,1.5016107,0.5775877
4220,0.211,0.98924863,0.031398609,0.033333333,-0.91326403,1.4823891,0.56912504
4240,0.212,0.9866082,0.030156494,0.033333333,-0.92212103,1.4784324,0.55631136
4260,0.213,0.97961821,0.025882097,0.033333333,-0.90473998,1.4679579,0.5632179
4280,0.214,0.98102056,0.025623103,0.033333333,-0.88791676,1.4700593,0.58214255
4300,0.215,0.99734083,0.033766462,0.033333333,-0.90614977,1.4945152,0.58836546
4320,0.216,1.0067042,0.030332715,0.033333333,-0.92783825,1.5085462,0.58070797
4340,0.217,1.0123463,0.029010556,0.033333333,-0.93003891,1.5170009,0.58696196
4360,0.218,1.0193436,0.026623321,0.033333333,-0.91511057,1.5274864,0.61237578
4380,0.219,1.0238405,0.032637762,0.033333333,-0.89959452,1.534225,0.63463047
4400,0.22,1.0278583,0.027496147,0.033333333,-0.90443852,1.5402457,0.63580716
4420,0.221,1.0259892,0.030315119,0.033333333,-0.90243473,1.5374448,0.63501009
4440,0.222,1.0403113,0.028651618,0.033333333,-0.90663361,1.5589065,0.65227287
4460,0.223,1.0665739,0.032251559,0.033333333,-0.91688313,1.598261,0.68137784
4480,0.224,1.0606549,0.031081543,0.033333333,-0.90367129,1.5893914,0.68572014
4500,0.225,1.0411653,0.028761251,0.033333333,-0.89120443,1.5601862,0.66898173
4520,0.226,1.0339464,0.026636255,0.033333333,-0.89118072,1.5493687,0.65818794
4540,0.227,1.0442305,0.031220566,0.033333333,-0.90258129,1.5647794,0.66219814
4560,0.228,1.0158536,0.03050863,0.033333333,-0.86640601,1.5222566,0.65585061
4580,0.229,1.0007988,0.029939993,0.033333333,-0.87998197,1.499697,0.61971508
4600,0.23,1.0057844,0.023858876,0.033333333,-0.92648505,1.5071679,0.58068288
4620,0.231,1.01656,0.027470526,0.033333333,-0.9549174,1.5233151,0.56839774
4640,0.232,0.9839999,0.027473103,0.033333333,-0.90076849,1.4745238,0.57375536
4660,0.233,0.98824407,0.027572818,0.033333333,-0.9166149,1.4808837,0.56426884
4680,0.234,0.97845584,0.034913584,0.033333333,-0.92674525,1.4662161,0.53947084
4700,0.235,0.98414369,0.027683893,0.033333333,-0.9443325,1.4747393,0.53040683
4720,0.236,0.96805723,0.026082584,0.033333333,-0.90087622,1.4506338,0.54975754
4740,0.237,0.99056253,0.029903193,0.033333333,-0.9219344,1.484358,0.56242355
4760,0.238,0.98805414,0.022924109,0.033333333,-0.93080696,1.4805991,0.54979217
4780,0.239,0.98575359,0.028917918,0.033333333,-0.94010247,1.4771517,0.53704927
4800,0.24,0.98044919,0.028090412,0.033333333,-0.91273655,1.4692031,0.55646657
4820,0.241,1.0028594,0.024516748,0.033333333,-0.91546462,1.5027848,0.58732018
4840,0.242,1.0155952,0.033106001,0.033333333,-0.93032722,1.5218693,0.59154211
4860,0.243,1.0041465,0.025418038,0.033333333,-0.92824572,1.5047136,0.57646784
4880,0.244,1.0142974,0.026159199,0.033333333,-0.93514543,1.5199247,0.58477924
4900,0.245,1.0388019,0.032932584,0.033333333,-0.93815415,1.5566447,0.6184905
4920,0.246,1.0415142,0.028268295,0.033333333,-0.93032651,1.5607091,0.63038257
4940,0.247,1.0097141,0.031458515,0.033333333,-0.90373492,1.5130565,0.60932159
4960,0.248,0.99697427,0.032414735,0.033333333,-0.89987407,1.4939659,0.59409187
4980,0.249,1.0046443,0.02673693,0.033333333,-0.89074946,1.5054595,0.61471003
5000,0.25,1.0181454,0.029001158,0.033333333,-0.89007225,1.5256909,0.63561861
5020,0.251,1.009884,0.030273499,0.033333333,-0.8956609,1.5133111,0.61765021
